price,beds,baths,sqft,address,url
"$250,000",2 beds,1 bath,919 sq ft,"2938 N 61st Pl #115, Scottsdale, AZ 85251",https://www.redfin.com/AZ/Scottsdale/2938-N-61st-Pl-85251/unit-115/home/27655768
"$480,000",4 beds,2 baths,"2,088 sq ft","5332 W Stargazer Pl, Laveen, AZ 85339",https://www.redfin.com/AZ/Laveen/5332-W-Stargazer-Pl-85339/home/176726822
"$477,000",2 beds,2 baths,"1,132 sq ft","4546 E Renee Dr, Phoenix, AZ 85050",https://www.redfin.com/AZ/Phoenix/4546-E-Renee-Dr-85050/home/27741224
"$525,000",2 beds,2 baths,"1,242 sq ft","2906 E Avenida Olivos --, Phoenix, AZ 85016",https://www.redfin.com/AZ/Phoenix/2906-E-Avenida-Olivos-85016/home/27993408
"$372,500",2 beds,2 baths,"1,250 sq ft","2201 N Central Ave Unit 5-E, Phoenix, AZ 85004",https://www.redfin.com/AZ/Phoenix/2201-N-Central-Ave-85004/unit-5E/home/28504248
"$700,000",3 beds,2 baths,"2,328 sq ft","2201 N Central Ave Unit 8-C, Phoenix, AZ 85004",https://www.redfin.com/AZ/Phoenix/2201-N-Central-Ave-85004/unit-8C/home/39600007
"$437,500",3 beds,2 baths,"1,416 sq ft","10097 W Mariposa St, Phoenix, AZ 85037",https://www.redfin.com/AZ/Phoenix/10097-W-Mariposa-St-85037/home/27764936
"$619,000",4 beds,2.5 baths,"2,986 sq ft","2510 E Fawn Dr, Phoenix, AZ 85042",https://www.redfin.com/AZ/Phoenix/2510-E-Fawn-Dr-85042/home/120158389
"$675,000",4 beds,2 baths,"2,031 sq ft","2501 E Campbell Ave, Phoenix, AZ 85016",https://www.redfin.com/AZ/Phoenix/2501-E-Campbell-Ave-85016/home/27605644
"$149,900",3 beds,1 bath,808 sq ft,"2116 W Hadley St, Phoenix, AZ 85009",https://www.redfin.com/AZ/Phoenix/2116-W-Hadley-St-85009/home/27509301
"$534,900",4 beds,2 baths,"2,128 sq ft","38429 N 27th Ave, Phoenix, AZ 85086",https://www.redfin.com/AZ/Phoenix/38429-N-27th-Ave-85086/home/28076173
"$370,000",4 beds,2 baths,"1,310 sq ft","2402 W Poinsettia Dr, Phoenix, AZ 85029",https://www.redfin.com/AZ/Phoenix/2402-W-Poinsettia-Dr-85029/home/27206752
"$389,900",2 beds,2.5 baths,"1,201 sq ft","4963 W Escuda Dr, Glendale, AZ 85308",https://www.redfin.com/AZ/Glendale/4963-W-Escuda-Dr-85308/home/28277412
"$615,000",3 beds,2.5 baths,"1,942 sq ft","25619 N 21st Ave, Phoenix, AZ 85085",https://www.redfin.com/AZ/Phoenix/25619-N-21st-Ave-85085/home/147804246
"$849,999",4 beds,2.5 baths,"3,111 sq ft","718 E Mountain Sage Dr, Phoenix, AZ 85048",https://www.redfin.com/AZ/Phoenix/718-E-Mountain-Sage-Dr-85048/home/27801613
"$850,000",3 beds,2.5 baths,"1,912 sq ft","2055 W Windsor Ave, Phoenix, AZ 85009",https://www.redfin.com/AZ/Phoenix/2055-W-Windsor-Ave-85009/home/27510028
"$420,000",4 beds,2.5 baths,"2,872 sq ft","912 W Estes Way, Phoenix, AZ 85041",https://www.redfin.com/AZ/Phoenix/912-W-Estes-Way-85041/home/27046188
